,extraposition,anaphor_agreement,quantifiers,argument_structure,binding_principle_a,infinitival_argument_clause,topicalization,complementive,r_words,auxiliaries,wh_movement_restrictions,wh_movement,verb_second,parasitic_gaps,crossing_dependencies,adpositional_phrases,passive,determiners,adverbial_modification,relativization,nominalization,finite_argument_clause
animate_subject_passive,15.0,2.0,5.0,33.0,11.0,40.0,11.0,13.0,7.0,16.0,11.0,6.0,0.0,10.0,17.0,11.0,11.0,21.0,10.0,10.0,11.0,15.0
anaphor_gender_agreement,18.0,26.0,34.0,47.0,22.0,61.0,11.0,9.0,5.0,33.0,11.0,13.0,18.0,4.0,40.0,23.0,11.0,47.0,22.0,30.0,0.0,12.0
irregular_past_participle_adjectives,11.0,31.0,26.0,28.0,39.0,42.0,17.0,14.0,3.0,19.0,13.0,15.0,36.0,14.0,42.0,11.0,31.0,22.0,57.0,42.0,5.0,5.0
regular_plural_subject_verb_agreement_2,21.0,38.0,32.0,60.0,42.0,73.0,22.0,14.0,5.0,38.0,11.0,17.0,48.0,2.0,59.0,26.0,31.0,34.0,52.0,50.0,4.0,5.0
drop_argument,24.0,14.0,22.0,50.0,29.0,72.0,9.0,17.0,11.0,39.0,2.0,2.0,20.0,8.0,33.0,37.0,20.0,45.0,26.0,35.0,4.0,18.0
wh_questions_subject_gap,20.0,12.0,17.0,45.0,13.0,59.0,29.0,5.0,5.0,14.0,6.0,10.0,19.0,9.0,41.0,27.0,10.0,32.0,24.0,42.0,10.0,15.0
determiner_noun_agreement_irregular_2,29.0,13.0,39.0,71.0,17.0,62.0,8.0,19.0,12.0,60.0,14.0,11.0,15.0,14.0,45.0,40.0,14.0,34.0,26.0,28.0,9.0,9.0
superlative_quantifiers_2,27.0,10.0,4.0,47.0,4.0,40.0,28.0,12.0,10.0,24.0,7.0,6.0,6.0,16.0,23.0,21.0,10.0,20.0,5.0,16.0,12.0,21.0
coordinate_structure_constraint_object_extraction,34.0,1.0,6.0,19.0,14.0,4.0,21.0,8.0,16.0,34.0,6.0,13.0,7.0,33.0,5.0,21.0,12.0,16.0,8.0,7.0,16.0,17.0
matrix_question_npi_licensor_present,0.0,4.0,1.0,3.0,1.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,4.0
