,finite_argument_clause__sluicing_2,complementive__position_adverb,finite_argument_clause__perception_of,r_words__adverbial,argument_structure__intransitive_unaccusative_1,wh_movement__filler_effect_gap,passive__impersonal,topicalization__question_similarity_1,relativization__island,wh_movement_restrictions__resumptive_prolepsis,r_words__weak_proform,wh_movement_restrictions__bridge_verb_2,topicalization__resumptive_prolepsis,argument_structure__argument_number_ditransitive,adpositional_phrases__argument_scrambling,relativization__resumptive_prolepsis,quantifiers__universal_difference_agreement_singular,infinitival_argument_clause__bare_verb_cluster,infinitival_argument_clause__te_om_te_difference_1,complementive__transitive,parasitic_gaps__scrambling,parasitic_gaps__structure_type_1,quantifiers__universal_difference_agreement_plural,nominalization__type_inf_1,infinitival_argument_clause__bare_verb_type_1,wh_movement__filler_effect_no_gap,auxiliaries__order_1,adpositional_phrases__argument_r_extraction,complementive__ditransitive,complementive__position_verb,infinitival_argument_clause__verb_type,extraposition__adjectival_supplementive,adverbial_modification__position_type,anaphor_agreement__person,auxiliaries__semi_aspectual_2,argument_structure__ditransitive_nomdat_1,passive__ditransitive_2,determiners__geen_scrambling_1,crossing_dependencies__cross_dependency,finite_argument_clause__position,passive__aci,infinitival_argument_clause__te_transparant_split,wh_movement_restrictions__island_2,verb_second__order_embedded,wh_movement__stranding_1,passive__ditransitive_1,infinitival_argument_clause__bare_verb_type_3,determiners__geen_scrambling_2,argument_structure__argument_number_in_transitive,binding_principle_a__monomorphemic,argument_structure__ditransitive_nomdat_2,infinitival_argument_clause__om_te,verb_second__order_main,parasitic_gaps__structure_type_3,anaphor_agreement__number,wh_movement_restrictions__island_1,wh_movement__hierarchy,finite_argument_clause__perception_dat,wh_movement__stranding_2,adverbial_modification__position_proform,auxiliaries__order_2,determiners__negative_polarity,complementive__intransitive,argument_structure__intransitive_unaccusative_3,auxiliaries__semi_aspectual_1,infinitival_argument_clause__te_om_te_difference_2,wh_movement_restrictions__superiority,parasitic_gaps__structure_type_2,determiners__geen_expletive,argument_structure__ditransitive_nomdat_3,infinitival_argument_clause__bare_verb_type_2,nominalization__type_inf_2,finite_argument_clause__sluicing_1,extraposition__argument_nominal,wh_movement__question_formation,extraposition__adjectival_adverbial,argument_structure__intransitive_unaccusative_2,topicalization__island,auxiliaries__perfect,finite_argument_clause__complementizer,binding_principle_a__c_command,relativization__pied_piping,topicalization__question_similarity_2,wh_movement_restrictions__bridge_verb_1
wh_movement__hierarchy,3.0,55.0,11.0,19.0,57.0,24.0,20.0,10.0,13.0,9.0,12.0,16.0,16.0,40.0,21.0,29.0,28.0,40.0,15.0,57.0,25.0,12.0,11.0,26.0,5.0,7.0,26.0,7.0,24.0,22.0,36.0,26.0,49.0,26.0,4.0,44.0,33.0,31.0,32.0,23.0,16.0,35.0,10.0,32.0,17.0,26.0,18.0,30.0,10.0,12.0,24.0,41.0,26.0,6.0,25.0,13.0,870.0,30.0,10.0,48.0,46.0,11.0,7.0,21.0,34.0,9.0,21.0,13.0,12.0,17.0,55.0,27.0,14.0,16.0,27.0,15.0,21.0,14.0,38.0,28.0,41.0,21.0,35.0,12.0
finite_argument_clause__perception_dat,8.0,89.0,0.0,10.0,89.0,8.0,40.0,4.0,44.0,16.0,14.0,8.0,24.0,62.0,31.0,16.0,27.0,100.0,13.0,20.0,16.0,0.0,2.0,9.0,9.0,54.0,13.0,20.0,49.0,76.0,30.0,113.0,121.0,70.0,9.0,0.0,3.0,27.0,75.0,23.0,29.0,63.0,10.0,98.0,2.0,1.0,185.0,85.0,46.0,54.0,40.0,20.0,95.0,0.0,11.0,15.0,30.0,870.0,11.0,65.0,24.0,22.0,4.0,2.0,106.0,19.0,15.0,5.0,25.0,31.0,98.0,16.0,11.0,24.0,56.0,64.0,1.0,54.0,30.0,67.0,17.0,50.0,100.0,19.0
wh_movement__stranding_2,6.0,18.0,3.0,26.0,8.0,3.0,4.0,15.0,6.0,3.0,14.0,12.0,26.0,23.0,11.0,27.0,23.0,19.0,16.0,20.0,16.0,15.0,21.0,16.0,13.0,19.0,24.0,24.0,11.0,22.0,20.0,19.0,7.0,8.0,2.0,9.0,31.0,9.0,22.0,23.0,23.0,11.0,9.0,29.0,236.0,21.0,8.0,10.0,13.0,11.0,13.0,17.0,6.0,18.0,16.0,17.0,10.0,11.0,870.0,20.0,13.0,13.0,12.0,19.0,16.0,21.0,96.0,20.0,20.0,14.0,5.0,22.0,11.0,12.0,20.0,16.0,12.0,13.0,21.0,14.0,2.0,19.0,11.0,24.0
adverbial_modification__position_proform,2.0,182.0,11.0,2.0,110.0,21.0,48.0,9.0,6.0,19.0,26.0,3.0,36.0,73.0,22.0,30.0,15.0,284.0,21.0,119.0,34.0,0.0,3.0,11.0,9.0,12.0,33.0,26.0,11.0,120.0,17.0,67.0,128.0,135.0,18.0,0.0,8.0,44.0,105.0,2.0,91.0,131.0,6.0,190.0,8.0,2.0,68.0,118.0,31.0,113.0,53.0,3.0,113.0,1.0,14.0,8.0,48.0,65.0,20.0,870.0,51.0,14.0,6.0,0.0,101.0,26.0,20.0,16.0,13.0,20.0,75.0,19.0,10.0,6.0,36.0,37.0,7.0,10.0,88.0,32.0,61.0,81.0,108.0,13.0
auxiliaries__order_2,23.0,57.0,30.0,21.0,36.0,27.0,14.0,37.0,14.0,12.0,33.0,12.0,38.0,90.0,29.0,19.0,15.0,64.0,7.0,60.0,27.0,6.0,5.0,8.0,21.0,13.0,45.0,32.0,24.0,69.0,48.0,53.0,76.0,39.0,42.0,1.0,14.0,32.0,66.0,42.0,26.0,55.0,20.0,58.0,25.0,0.0,35.0,45.0,48.0,6.0,26.0,53.0,51.0,1.0,16.0,13.0,46.0,24.0,13.0,51.0,870.0,20.0,16.0,11.0,39.0,11.0,41.0,14.0,46.0,64.0,49.0,21.0,9.0,22.0,40.0,49.0,11.0,8.0,67.0,21.0,31.0,12.0,27.0,21.0
determiners__negative_polarity,7.0,6.0,7.0,6.0,6.0,11.0,9.0,15.0,12.0,8.0,17.0,3.0,5.0,9.0,18.0,4.0,4.0,14.0,5.0,6.0,7.0,0.0,0.0,5.0,21.0,6.0,6.0,16.0,7.0,9.0,20.0,9.0,10.0,7.0,21.0,1.0,1.0,3.0,13.0,13.0,8.0,15.0,17.0,7.0,3.0,2.0,6.0,14.0,25.0,5.0,10.0,21.0,5.0,1.0,8.0,7.0,11.0,22.0,13.0,14.0,20.0,870.0,16.0,2.0,11.0,3.0,8.0,0.0,28.0,12.0,15.0,22.0,11.0,14.0,18.0,13.0,0.0,14.0,19.0,12.0,9.0,13.0,11.0,19.0
complementive__intransitive,6.0,18.0,29.0,50.0,46.0,30.0,5.0,21.0,14.0,19.0,23.0,11.0,14.0,27.0,49.0,10.0,12.0,14.0,4.0,11.0,50.0,28.0,29.0,22.0,70.0,9.0,44.0,21.0,0.0,19.0,47.0,32.0,8.0,2.0,8.0,44.0,19.0,14.0,16.0,18.0,9.0,18.0,34.0,15.0,19.0,39.0,11.0,4.0,45.0,1.0,27.0,37.0,17.0,5.0,14.0,18.0,7.0,4.0,12.0,6.0,16.0,16.0,870.0,10.0,4.0,6.0,20.0,37.0,25.0,40.0,17.0,25.0,8.0,81.0,15.0,23.0,6.0,23.0,19.0,8.0,16.0,21.0,25.0,23.0
argument_structure__intransitive_unaccusative_3,0.0,0.0,3.0,26.0,0.0,4.0,1.0,12.0,41.0,0.0,9.0,25.0,33.0,4.0,10.0,41.0,17.0,0.0,42.0,16.0,13.0,52.0,47.0,32.0,3.0,0.0,16.0,0.0,1.0,4.0,19.0,10.0,3.0,0.0,10.0,3.0,134.0,11.0,3.0,23.0,8.0,4.0,4.0,0.0,37.0,15.0,4.0,0.0,14.0,1.0,189.0,32.0,1.0,61.0,13.0,14.0,21.0,2.0,19.0,0.0,11.0,2.0,10.0,870.0,5.0,19.0,14.0,34.0,17.0,169.0,10.0,9.0,6.0,4.0,6.0,7.0,344.0,14.0,31.0,17.0,5.0,3.0,5.0,10.0
auxiliaries__semi_aspectual_1,4.0,94.0,6.0,15.0,84.0,18.0,60.0,9.0,11.0,25.0,17.0,4.0,53.0,99.0,34.0,24.0,25.0,151.0,12.0,32.0,22.0,8.0,10.0,14.0,7.0,24.0,22.0,12.0,51.0,91.0,28.0,93.0,105.0,62.0,10.0,5.0,5.0,44.0,63.0,9.0,31.0,163.0,12.0,131.0,5.0,4.0,67.0,99.0,47.0,38.0,50.0,11.0,84.0,0.0,11.0,10.0,34.0,106.0,16.0,101.0,39.0,11.0,4.0,5.0,870.0,18.0,35.0,14.0,16.0,37.0,105.0,14.0,11.0,11.0,89.0,54.0,3.0,24.0,40.0,40.0,32.0,71.0,86.0,10.0
infinitival_argument_clause__te_om_te_difference_2,6.0,13.0,5.0,6.0,13.0,5.0,2.0,9.0,21.0,3.0,31.0,23.0,13.0,14.0,13.0,6.0,3.0,31.0,221.0,18.0,9.0,5.0,3.0,16.0,6.0,33.0,13.0,15.0,3.0,15.0,5.0,10.0,21.0,3.0,7.0,2.0,20.0,15.0,19.0,12.0,25.0,32.0,29.0,35.0,11.0,3.0,26.0,40.0,10.0,7.0,7.0,13.0,5.0,9.0,7.0,9.0,9.0,19.0,21.0,26.0,11.0,3.0,6.0,19.0,18.0,870.0,8.0,8.0,17.0,16.0,5.0,6.0,10.0,9.0,7.0,23.0,13.0,17.0,17.0,16.0,5.0,10.0,12.0,5.0
wh_movement_restrictions__superiority,6.0,22.0,20.0,42.0,18.0,14.0,9.0,26.0,15.0,5.0,14.0,4.0,11.0,31.0,12.0,6.0,7.0,32.0,11.0,9.0,41.0,12.0,11.0,18.0,23.0,18.0,48.0,23.0,7.0,34.0,21.0,29.0,15.0,7.0,15.0,5.0,24.0,28.0,32.0,21.0,26.0,24.0,15.0,20.0,62.0,6.0,19.0,27.0,26.0,4.0,19.0,32.0,30.0,2.0,7.0,6.0,21.0,15.0,96.0,20.0,41.0,8.0,20.0,14.0,35.0,8.0,870.0,22.0,21.0,30.0,16.0,19.0,8.0,22.0,32.0,21.0,5.0,10.0,42.0,15.0,7.0,12.0,23.0,42.0
parasitic_gaps__structure_type_2,9.0,20.0,2.0,31.0,20.0,17.0,9.0,18.0,34.0,11.0,23.0,27.0,23.0,13.0,19.0,52.0,19.0,10.0,37.0,13.0,41.0,186.0,36.0,23.0,19.0,4.0,34.0,12.0,10.0,9.0,10.0,13.0,14.0,5.0,11.0,23.0,55.0,12.0,8.0,20.0,11.0,11.0,11.0,13.0,23.0,17.0,3.0,4.0,19.0,5.0,24.0,33.0,18.0,287.0,47.0,13.0,13.0,5.0,20.0,16.0,14.0,0.0,37.0,34.0,14.0,8.0,22.0,870.0,54.0,33.0,10.0,16.0,8.0,6.0,11.0,16.0,42.0,22.0,14.0,30.0,7.0,10.0,12.0,12.0
determiners__geen_expletive,22.0,27.0,10.0,35.0,16.0,33.0,4.0,30.0,23.0,9.0,14.0,6.0,18.0,45.0,33.0,21.0,11.0,15.0,11.0,17.0,23.0,14.0,16.0,34.0,34.0,39.0,61.0,31.0,6.0,37.0,42.0,27.0,12.0,9.0,24.0,8.0,13.0,14.0,20.0,42.0,10.0,29.0,27.0,10.0,20.0,30.0,18.0,12.0,50.0,3.0,21.0,49.0,25.0,25.0,18.0,24.0,12.0,25.0,20.0,13.0,46.0,28.0,25.0,17.0,16.0,17.0,21.0,54.0,870.0,45.0,13.0,23.0,14.0,34.0,16.0,40.0,13.0,13.0,53.0,38.0,4.0,27.0,26.0,30.0
argument_structure__ditransitive_nomdat_3,6.0,37.0,6.0,60.0,22.0,21.0,11.0,24.0,36.0,6.0,15.0,21.0,46.0,90.0,25.0,36.0,19.0,62.0,38.0,18.0,43.0,28.0,21.0,30.0,17.0,17.0,79.0,29.0,24.0,60.0,45.0,76.0,31.0,30.0,38.0,0.0,77.0,40.0,53.0,26.0,36.0,43.0,25.0,54.0,37.0,7.0,31.0,46.0,86.0,6.0,200.0,55.0,39.0,22.0,13.0,17.0,17.0,31.0,14.0,20.0,64.0,12.0,40.0,169.0,37.0,16.0,30.0,33.0,45.0,870.0,62.0,27.0,9.0,19.0,35.0,45.0,212.0,27.0,109.0,71.0,27.0,26.0,47.0,28.0
infinitival_argument_clause__bare_verb_type_2,4.0,54.0,8.0,24.0,120.0,27.0,80.0,22.0,13.0,16.0,30.0,13.0,28.0,117.0,24.0,12.0,35.0,97.0,14.0,12.0,18.0,6.0,4.0,7.0,8.0,21.0,20.0,20.0,112.0,52.0,38.0,69.0,57.0,59.0,19.0,5.0,8.0,42.0,48.0,2.0,10.0,103.0,14.0,77.0,8.0,10.0,55.0,67.0,86.0,35.0,61.0,22.0,70.0,1.0,14.0,12.0,55.0,98.0,5.0,75.0,49.0,15.0,17.0,10.0,105.0,5.0,16.0,10.0,13.0,62.0,870.0,23.0,13.0,11.0,105.0,26.0,10.0,12.0,47.0,23.0,54.0,49.0,83.0,8.0
nominalization__type_inf_2,13.0,15.0,8.0,21.0,19.0,15.0,19.0,22.0,21.0,7.0,20.0,9.0,6.0,18.0,55.0,7.0,20.0,11.0,6.0,13.0,28.0,6.0,3.0,15.0,22.0,29.0,49.0,22.0,19.0,20.0,18.0,17.0,15.0,4.0,10.0,9.0,6.0,25.0,10.0,41.0,6.0,18.0,16.0,13.0,26.0,12.0,13.0,13.0,45.0,7.0,33.0,41.0,19.0,7.0,10.0,12.0,27.0,16.0,22.0,19.0,21.0,22.0,25.0,9.0,14.0,6.0,19.0,16.0,23.0,27.0,23.0,870.0,11.0,20.0,8.0,19.0,9.0,18.0,55.0,29.0,9.0,37.0,18.0,14.0
finite_argument_clause__sluicing_1,38.0,15.0,9.0,9.0,6.0,55.0,3.0,12.0,21.0,10.0,9.0,9.0,10.0,7.0,11.0,6.0,7.0,5.0,13.0,9.0,9.0,0.0,1.0,10.0,7.0,18.0,6.0,8.0,10.0,18.0,4.0,6.0,5.0,9.0,11.0,3.0,2.0,9.0,6.0,12.0,20.0,17.0,7.0,2.0,16.0,5.0,24.0,6.0,20.0,2.0,14.0,3.0,8.0,1.0,11.0,21.0,14.0,11.0,11.0,10.0,9.0,11.0,8.0,6.0,11.0,10.0,8.0,8.0,14.0,9.0,13.0,11.0,870.0,13.0,8.0,13.0,14.0,24.0,12.0,21.0,6.0,5.0,10.0,19.0
extraposition__argument_nominal,8.0,15.0,12.0,17.0,8.0,30.0,5.0,22.0,18.0,10.0,14.0,7.0,5.0,14.0,48.0,5.0,5.0,12.0,10.0,9.0,23.0,4.0,3.0,10.0,70.0,15.0,30.0,16.0,8.0,36.0,25.0,32.0,13.0,10.0,18.0,5.0,7.0,11.0,12.0,27.0,11.0,22.0,19.0,7.0,9.0,16.0,27.0,7.0,18.0,16.0,22.0,25.0,9.0,4.0,4.0,23.0,16.0,24.0,12.0,6.0,22.0,14.0,81.0,4.0,11.0,9.0,22.0,6.0,34.0,19.0,11.0,20.0,13.0,870.0,7.0,35.0,6.0,16.0,25.0,19.0,24.0,13.0,31.0,15.0
wh_movement__question_formation,3.0,31.0,18.0,15.0,46.0,14.0,80.0,24.0,14.0,37.0,11.0,6.0,37.0,68.0,12.0,10.0,23.0,51.0,8.0,21.0,15.0,5.0,1.0,4.0,7.0,15.0,21.0,16.0,58.0,37.0,17.0,40.0,31.0,24.0,14.0,4.0,7.0,16.0,35.0,8.0,17.0,57.0,12.0,51.0,12.0,3.0,28.0,38.0,26.0,10.0,37.0,13.0,37.0,1.0,8.0,11.0,27.0,56.0,20.0,36.0,40.0,18.0,15.0,6.0,89.0,7.0,32.0,11.0,16.0,35.0,105.0,8.0,8.0,7.0,870.0,24.0,6.0,3.0,23.0,13.0,30.0,27.0,29.0,14.0
extraposition__adjectival_adverbial,4.0,68.0,8.0,20.0,31.0,30.0,5.0,34.0,23.0,7.0,22.0,4.0,28.0,62.0,32.0,17.0,10.0,68.0,14.0,14.0,25.0,2.0,1.0,22.0,33.0,26.0,46.0,22.0,11.0,134.0,18.0,137.0,44.0,44.0,14.0,2.0,6.0,25.0,72.0,32.0,23.0,42.0,32.0,90.0,22.0,2.0,84.0,49.0,35.0,15.0,36.0,23.0,41.0,0.0,1.0,14.0,15.0,64.0,16.0,37.0,49.0,13.0,23.0,7.0,54.0,23.0,21.0,16.0,40.0,45.0,26.0,19.0,13.0,35.0,24.0,870.0,5.0,29.0,39.0,35.0,8.0,9.0,19.0,19.0
argument_structure__intransitive_unaccusative_2,0.0,0.0,1.0,14.0,0.0,1.0,0.0,4.0,29.0,0.0,4.0,18.0,38.0,5.0,10.0,55.0,18.0,0.0,68.0,11.0,11.0,57.0,46.0,42.0,3.0,2.0,10.0,0.0,2.0,3.0,28.0,9.0,1.0,1.0,24.0,0.0,133.0,8.0,3.0,20.0,24.0,3.0,4.0,0.0,16.0,23.0,3.0,4.0,9.0,2.0,141.0,27.0,0.0,51.0,7.0,7.0,21.0,1.0,12.0,7.0,11.0,0.0,6.0,344.0,3.0,13.0,5.0,42.0,13.0,212.0,10.0,9.0,14.0,6.0,6.0,5.0,870.0,16.0,28.0,18.0,6.0,2.0,5.0,7.0
topicalization__island,3.0,24.0,9.0,15.0,25.0,19.0,2.0,7.0,127.0,19.0,32.0,8.0,10.0,20.0,13.0,9.0,8.0,11.0,27.0,17.0,17.0,9.0,11.0,12.0,18.0,29.0,10.0,18.0,3.0,14.0,14.0,30.0,8.0,34.0,8.0,4.0,10.0,13.0,27.0,22.0,10.0,16.0,14.0,22.0,13.0,22.0,56.0,14.0,27.0,18.0,31.0,12.0,22.0,20.0,10.0,33.0,14.0,54.0,13.0,10.0,8.0,14.0,23.0,14.0,24.0,17.0,10.0,22.0,13.0,27.0,12.0,18.0,24.0,16.0,3.0,29.0,16.0,870.0,24.0,55.0,10.0,11.0,26.0,13.0
auxiliaries__perfect,6.0,59.0,10.0,53.0,57.0,14.0,10.0,29.0,26.0,14.0,25.0,16.0,23.0,68.0,38.0,21.0,25.0,82.0,25.0,30.0,65.0,5.0,6.0,22.0,13.0,20.0,125.0,21.0,31.0,75.0,39.0,47.0,46.0,50.0,49.0,5.0,25.0,64.0,68.0,49.0,33.0,53.0,15.0,56.0,33.0,18.0,26.0,29.0,69.0,52.0,96.0,77.0,80.0,1.0,10.0,15.0,38.0,30.0,21.0,88.0,67.0,19.0,19.0,31.0,40.0,17.0,42.0,14.0,53.0,109.0,47.0,55.0,12.0,25.0,23.0,39.0,28.0,24.0,870.0,55.0,22.0,33.0,52.0,45.0
finite_argument_clause__complementizer,15.0,110.0,4.0,29.0,26.0,7.0,6.0,20.0,31.0,6.0,11.0,11.0,31.0,42.0,18.0,19.0,23.0,92.0,23.0,21.0,36.0,13.0,16.0,12.0,20.0,69.0,48.0,11.0,15.0,81.0,10.0,67.0,84.0,40.0,13.0,5.0,14.0,18.0,47.0,46.0,25.0,34.0,23.0,69.0,8.0,8.0,54.0,60.0,64.0,30.0,63.0,37.0,66.0,19.0,20.0,28.0,28.0,67.0,14.0,32.0,21.0,12.0,8.0,17.0,40.0,16.0,15.0,30.0,38.0,71.0,23.0,29.0,21.0,19.0,13.0,35.0,18.0,55.0,55.0,870.0,7.0,48.0,59.0,20.0
binding_principle_a__c_command,0.0,30.0,15.0,2.0,33.0,16.0,145.0,16.0,3.0,38.0,19.0,12.0,22.0,34.0,16.0,20.0,11.0,65.0,5.0,29.0,12.0,4.0,5.0,1.0,7.0,4.0,17.0,6.0,32.0,33.0,22.0,25.0,34.0,24.0,23.0,19.0,7.0,29.0,25.0,5.0,11.0,43.0,12.0,50.0,6.0,30.0,14.0,35.0,8.0,11.0,17.0,16.0,44.0,3.0,101.0,3.0,41.0,17.0,2.0,61.0,31.0,9.0,16.0,5.0,32.0,5.0,7.0,7.0,4.0,27.0,54.0,9.0,6.0,24.0,30.0,8.0,6.0,10.0,22.0,7.0,870.0,14.0,16.0,9.0
relativization__pied_piping,4.0,69.0,13.0,15.0,59.0,10.0,29.0,10.0,3.0,21.0,9.0,6.0,29.0,16.0,41.0,21.0,10.0,94.0,4.0,31.0,14.0,4.0,8.0,9.0,2.0,24.0,45.0,15.0,17.0,35.0,14.0,34.0,77.0,53.0,19.0,4.0,5.0,18.0,69.0,11.0,17.0,103.0,14.0,65.0,21.0,4.0,23.0,57.0,25.0,50.0,24.0,9.0,63.0,1.0,13.0,8.0,21.0,50.0,19.0,81.0,12.0,13.0,21.0,3.0,71.0,10.0,12.0,10.0,27.0,26.0,49.0,37.0,5.0,13.0,27.0,9.0,2.0,11.0,33.0,48.0,14.0,870.0,118.0,8.0
topicalization__question_similarity_2,4.0,88.0,9.0,21.0,110.0,9.0,4.0,5.0,15.0,12.0,17.0,1.0,32.0,42.0,44.0,18.0,19.0,125.0,10.0,25.0,17.0,10.0,10.0,8.0,14.0,31.0,36.0,15.0,29.0,54.0,62.0,42.0,98.0,104.0,24.0,4.0,13.0,33.0,106.0,16.0,31.0,83.0,13.0,105.0,8.0,20.0,54.0,73.0,40.0,96.0,54.0,38.0,109.0,2.0,20.0,5.0,35.0,100.0,11.0,108.0,27.0,11.0,25.0,5.0,86.0,12.0,23.0,12.0,26.0,47.0,83.0,18.0,10.0,31.0,29.0,19.0,5.0,26.0,52.0,59.0,16.0,118.0,870.0,5.0
wh_movement_restrictions__bridge_verb_1,19.0,6.0,4.0,28.0,2.0,16.0,9.0,17.0,11.0,17.0,33.0,22.0,10.0,25.0,17.0,7.0,17.0,8.0,7.0,8.0,18.0,7.0,15.0,18.0,20.0,25.0,35.0,28.0,11.0,10.0,14.0,19.0,5.0,2.0,14.0,15.0,11.0,11.0,13.0,25.0,7.0,7.0,25.0,4.0,18.0,14.0,14.0,9.0,24.0,0.0,20.0,23.0,9.0,9.0,11.0,21.0,12.0,19.0,24.0,13.0,21.0,19.0,23.0,10.0,10.0,5.0,42.0,12.0,30.0,28.0,8.0,14.0,19.0,15.0,14.0,19.0,7.0,13.0,45.0,20.0,9.0,8.0,5.0,870.0
