,finite_argument_clause__sluicing_2,complementive__position_adverb,finite_argument_clause__perception_of,r_words__adverbial,argument_structure__intransitive_unaccusative_1,wh_movement__filler_effect_gap,passive__impersonal,topicalization__question_similarity_1,relativization__island,wh_movement_restrictions__resumptive_prolepsis,r_words__weak_proform,wh_movement_restrictions__bridge_verb_2,topicalization__resumptive_prolepsis,argument_structure__argument_number_ditransitive,adpositional_phrases__argument_scrambling,relativization__resumptive_prolepsis,quantifiers__universal_difference_agreement_singular,infinitival_argument_clause__bare_verb_cluster,infinitival_argument_clause__te_om_te_difference_1,complementive__transitive,parasitic_gaps__scrambling,parasitic_gaps__structure_type_1,quantifiers__universal_difference_agreement_plural,nominalization__type_inf_1,infinitival_argument_clause__bare_verb_type_1,wh_movement__filler_effect_no_gap,auxiliaries__order_1,adpositional_phrases__argument_r_extraction,complementive__ditransitive,complementive__position_verb,infinitival_argument_clause__verb_type,extraposition__adjectival_supplementive,adverbial_modification__position_type,anaphor_agreement__person,auxiliaries__semi_aspectual_2,argument_structure__ditransitive_nomdat_1,passive__ditransitive_2,determiners__geen_scrambling_1,crossing_dependencies__cross_dependency,finite_argument_clause__position,passive__aci,infinitival_argument_clause__te_transparant_split,wh_movement_restrictions__island_2,verb_second__order_embedded,wh_movement__stranding_1,passive__ditransitive_1,infinitival_argument_clause__bare_verb_type_3,determiners__geen_scrambling_2,argument_structure__argument_number_in_transitive,binding_principle_a__monomorphemic,argument_structure__ditransitive_nomdat_2,infinitival_argument_clause__om_te,verb_second__order_main,parasitic_gaps__structure_type_3,anaphor_agreement__number,wh_movement_restrictions__island_1,wh_movement__hierarchy,finite_argument_clause__perception_dat,wh_movement__stranding_2,adverbial_modification__position_proform,auxiliaries__order_2,determiners__negative_polarity,complementive__intransitive,argument_structure__intransitive_unaccusative_3,auxiliaries__semi_aspectual_1,infinitival_argument_clause__te_om_te_difference_2,wh_movement_restrictions__superiority,parasitic_gaps__structure_type_2,determiners__geen_expletive,argument_structure__ditransitive_nomdat_3,infinitival_argument_clause__bare_verb_type_2,nominalization__type_inf_2,finite_argument_clause__sluicing_1,extraposition__argument_nominal,wh_movement__question_formation,extraposition__adjectival_adverbial,argument_structure__intransitive_unaccusative_2,topicalization__island,auxiliaries__perfect,finite_argument_clause__complementizer,binding_principle_a__c_command,relativization__pied_piping,topicalization__question_similarity_2,wh_movement_restrictions__bridge_verb_1
sentential_negation_npi_licensor_present,11.0,6.0,12.0,7.0,33.0,3.0,5.0,7.0,8.0,13.0,12.0,11.0,13.0,13.0,24.0,21.0,13.0,9.0,15.0,8.0,15.0,18.0,16.0,14.0,8.0,9.0,10.0,23.0,11.0,5.0,44.0,3.0,8.0,13.0,19.0,51.0,18.0,5.0,22.0,21.0,25.0,17.0,13.0,10.0,15.0,37.0,9.0,17.0,23.0,9.0,13.0,46.0,8.0,21.0,20.0,15.0,20.0,22.0,13.0,11.0,15.0,92.0,21.0,12.0,4.0,7.0,6.0,9.0,31.0,24.0,19.0,24.0,1.0,18.0,19.0,11.0,27.0,11.0,18.0,19.0,9.0,17.0,29.0,22.0
principle_A_case_2,15.0,13.0,9.0,6.0,21.0,22.0,14.0,16.0,31.0,6.0,13.0,15.0,24.0,35.0,35.0,5.0,17.0,12.0,6.0,14.0,5.0,0.0,10.0,2.0,17.0,33.0,33.0,25.0,20.0,8.0,40.0,12.0,43.0,16.0,18.0,6.0,6.0,20.0,37.0,38.0,11.0,31.0,7.0,12.0,6.0,1.0,18.0,19.0,30.0,15.0,32.0,67.0,24.0,5.0,11.0,10.0,60.0,70.0,10.0,17.0,46.0,31.0,7.0,17.0,37.0,17.0,10.0,4.0,32.0,33.0,46.0,34.0,9.0,17.0,53.0,9.0,20.0,23.0,38.0,46.0,21.0,41.0,63.0,31.0
determiner_noun_agreement_2,3.0,11.0,5.0,20.0,24.0,33.0,25.0,16.0,16.0,4.0,24.0,19.0,28.0,40.0,39.0,13.0,31.0,13.0,6.0,14.0,21.0,3.0,11.0,10.0,13.0,16.0,54.0,18.0,24.0,13.0,31.0,16.0,29.0,7.0,11.0,13.0,12.0,13.0,44.0,36.0,24.0,34.0,15.0,11.0,30.0,8.0,11.0,22.0,31.0,18.0,51.0,58.0,12.0,2.0,29.0,9.0,54.0,35.0,24.0,27.0,36.0,22.0,15.0,27.0,40.0,13.0,7.0,25.0,24.0,59.0,52.0,28.0,14.0,24.0,53.0,14.0,22.0,15.0,34.0,23.0,28.0,34.0,60.0,13.0
principle_A_reconstruction,24.0,2.0,1.0,7.0,34.0,6.0,2.0,12.0,23.0,0.0,5.0,24.0,25.0,17.0,7.0,20.0,14.0,5.0,28.0,9.0,35.0,49.0,26.0,27.0,9.0,3.0,18.0,2.0,7.0,2.0,33.0,5.0,9.0,4.0,3.0,60.0,37.0,6.0,1.0,28.0,1.0,9.0,8.0,0.0,13.0,28.0,3.0,0.0,13.0,0.0,14.0,34.0,2.0,34.0,18.0,4.0,39.0,1.0,6.0,0.0,20.0,1.0,10.0,32.0,3.0,5.0,6.0,36.0,9.0,23.0,2.0,2.0,2.0,7.0,1.0,16.0,39.0,10.0,15.0,11.0,4.0,5.0,6.0,6.0
existential_there_quantifiers_1,17.0,10.0,12.0,1.0,17.0,19.0,9.0,12.0,17.0,8.0,14.0,10.0,15.0,34.0,17.0,5.0,16.0,13.0,6.0,21.0,5.0,0.0,3.0,1.0,14.0,15.0,15.0,26.0,14.0,11.0,29.0,7.0,31.0,13.0,21.0,1.0,0.0,10.0,41.0,14.0,15.0,28.0,13.0,23.0,8.0,0.0,25.0,24.0,20.0,19.0,17.0,20.0,15.0,0.0,7.0,6.0,29.0,51.0,12.0,14.0,45.0,34.0,2.0,1.0,26.0,16.0,7.0,2.0,20.0,21.0,47.0,9.0,15.0,10.0,39.0,15.0,3.0,18.0,16.0,16.0,8.0,19.0,31.0,10.0
npi_present_2,22.0,9.0,9.0,8.0,30.0,14.0,21.0,2.0,14.0,11.0,20.0,20.0,20.0,44.0,25.0,4.0,14.0,8.0,10.0,8.0,4.0,2.0,13.0,8.0,5.0,20.0,13.0,17.0,9.0,5.0,37.0,12.0,27.0,9.0,25.0,12.0,14.0,27.0,37.0,19.0,6.0,37.0,12.0,6.0,9.0,10.0,12.0,24.0,38.0,20.0,41.0,36.0,18.0,13.0,8.0,11.0,28.0,48.0,7.0,10.0,37.0,16.0,10.0,25.0,38.0,8.0,8.0,5.0,24.0,45.0,54.0,28.0,5.0,16.0,50.0,15.0,26.0,29.0,16.0,21.0,23.0,38.0,46.0,23.0
wh_island,4.0,7.0,5.0,24.0,7.0,19.0,5.0,18.0,18.0,18.0,11.0,12.0,17.0,6.0,18.0,17.0,13.0,7.0,12.0,10.0,20.0,27.0,18.0,20.0,24.0,3.0,33.0,9.0,2.0,13.0,16.0,6.0,4.0,2.0,3.0,19.0,19.0,12.0,7.0,15.0,4.0,11.0,52.0,6.0,15.0,10.0,6.0,2.0,15.0,1.0,25.0,16.0,4.0,14.0,17.0,32.0,8.0,5.0,11.0,5.0,12.0,19.0,31.0,24.0,4.0,8.0,13.0,20.0,16.0,29.0,5.0,11.0,4.0,13.0,15.0,19.0,19.0,21.0,23.0,20.0,10.0,14.0,5.0,32.0
wh_questions_object_gap,0.0,1.0,1.0,13.0,21.0,7.0,5.0,10.0,30.0,0.0,3.0,20.0,13.0,9.0,12.0,32.0,8.0,8.0,19.0,7.0,17.0,48.0,29.0,22.0,1.0,1.0,20.0,5.0,2.0,1.0,29.0,6.0,0.0,0.0,6.0,39.0,31.0,8.0,4.0,25.0,4.0,13.0,6.0,2.0,19.0,31.0,1.0,4.0,8.0,0.0,17.0,31.0,1.0,32.0,9.0,11.0,32.0,7.0,11.0,1.0,5.0,4.0,12.0,37.0,6.0,6.0,8.0,28.0,12.0,19.0,8.0,4.0,5.0,4.0,7.0,8.0,43.0,12.0,16.0,10.0,4.0,12.0,7.0,8.0
tough_vs_raising_1,1.0,28.0,6.0,18.0,31.0,16.0,18.0,20.0,29.0,9.0,20.0,17.0,21.0,53.0,48.0,7.0,22.0,23.0,7.0,15.0,25.0,2.0,8.0,13.0,16.0,17.0,38.0,11.0,16.0,16.0,35.0,8.0,38.0,4.0,22.0,4.0,6.0,13.0,40.0,25.0,5.0,50.0,10.0,15.0,16.0,5.0,8.0,19.0,34.0,11.0,39.0,68.0,23.0,5.0,7.0,15.0,54.0,60.0,19.0,22.0,34.0,46.0,20.0,12.0,42.0,5.0,17.0,12.0,33.0,22.0,66.0,27.0,10.0,27.0,62.0,9.0,7.0,23.0,33.0,35.0,27.0,33.0,63.0,33.0
passive_1,22.0,27.0,5.0,6.0,21.0,26.0,7.0,15.0,24.0,7.0,10.0,8.0,26.0,33.0,32.0,11.0,12.0,14.0,10.0,11.0,12.0,1.0,7.0,4.0,15.0,22.0,20.0,24.0,12.0,28.0,38.0,12.0,30.0,10.0,10.0,3.0,9.0,20.0,34.0,22.0,8.0,33.0,11.0,24.0,5.0,4.0,17.0,29.0,47.0,17.0,29.0,31.0,16.0,5.0,15.0,21.0,23.0,44.0,5.0,9.0,44.0,30.0,15.0,20.0,21.0,7.0,6.0,11.0,33.0,38.0,31.0,24.0,37.0,14.0,37.0,16.0,16.0,21.0,32.0,50.0,5.0,23.0,39.0,22.0
